Options Chain Generated: 2024-10-31 01:26:44

=== Options Chain for GOOGL ===
Current Price: $135.75 | IV Rank: 45.0% | Dividend Yield: 1.50%
Days to Expiration: 91 | Risk-free Rate: 4.0%

=== CALLS ===
Strike | Type | Bid | Ask | Last | Volume | OI | IV% | Delta
----------------------------------------------------------
118.78 | EUR-C | 18.66 | 19.61 | 19.14 |    870 | 3631 |  0.0 |  0.16
118.78 | AMR-C | 18.66 | 19.61 | 19.14 |    497 | 2644 |  0.0 |  0.16
118.78 | BER-C | 18.66 | 19.61 | 19.14 |    889 | 1865 |  0.0 |  0.16
122.18 | EUR-C | 15.90 | 16.72 | 16.31 |    894 | 4379 |  0.0 |  0.13
122.18 | AMR-C | 15.90 | 16.72 | 16.31 |     94 | 3779 |  0.0 |  0.13
122.18 | BER-C | 15.90 | 16.72 | 16.31 |    647 | 2454 |  0.0 |  0.13
125.57 | EUR-C | 13.39 | 14.08 | 13.74 |    103 | 2006 |  0.0 |  0.11
125.57 | AMR-C | 13.39 | 14.08 | 13.74 |    429 | 3725 |  0.0 |  0.11
125.57 | BER-C | 13.39 | 14.08 | 13.74 |    656 | 1946 |  0.0 |  0.11
128.96 | EUR-C | 11.11 | 11.68 | 11.40 |    114 | 4997 |  0.0 |  0.09
128.96 | AMR-C | 11.11 | 11.68 | 11.40 |    274 | 2057 |  0.0 |  0.09
128.96 | BER-C | 11.11 | 11.68 | 11.40 |    995 | 2448 |  0.0 |  0.09
132.36 | EUR-C |  9.05 |  9.52 |  9.29 |     73 | 3891 |  0.0 |  0.07
132.36 | AMR-C |  9.05 |  9.52 |  9.29 |    201 | 1223 |  0.0 |  0.07
132.36 | BER-C |  9.05 |  9.52 |  9.29 |    793 | 1860 |  0.0 |  0.07
135.75 | EUR-C |  7.21 |  7.58 |  7.39 |    156 | 2061 |  0.0 | -0.05
135.75 | AMR-C |  7.21 |  7.58 |  7.39 |    399 | 1552 |  0.0 | -0.05
135.75 | BER-C |  7.21 |  7.58 |  7.39 |    779 | 1428 |  0.0 | -0.05
139.14 | EUR-C |  5.73 |  6.03 |  5.88 |    199 | 1968 |  0.0 | -0.04
139.14 | AMR-C |  5.73 |  6.03 |  5.88 |    666 | 1337 |  0.0 | -0.04
139.14 | BER-C |  5.73 |  6.03 |  5.88 |    279 | 1241 |  0.0 | -0.04
142.54 | EUR-C |  4.46 |  4.68 |  4.57 |    939 | 4934 |  0.0 | -0.03
142.54 | AMR-C |  4.46 |  4.68 |  4.57 |    189 | 2212 |  0.0 | -0.03
142.54 | BER-C |  4.46 |  4.68 |  4.57 |    538 | 3973 |  0.0 | -0.03
145.93 | EUR-C |  3.36 |  3.53 |  3.44 |    250 | 3766 |  0.0 | -0.02
145.93 | AMR-C |  3.36 |  3.53 |  3.44 |    708 | 4493 |  0.0 | -0.02
145.93 | BER-C |  3.36 |  3.53 |  3.44 |    550 |  962 |  0.0 | -0.02
149.33 | EUR-C |  2.55 |  2.68 |  2.62 |    153 | 2388 |  0.0 | -0.02
149.33 | AMR-C |  2.55 |  2.68 |  2.62 |    683 | 1818 |  0.0 | -0.02
149.33 | BER-C |  2.55 |  2.68 |  2.62 |    805 | 1043 |  0.0 | -0.02
152.72 | EUR-C |  1.88 |  1.98 |  1.93 |    541 | 1047 |  0.0 | -0.01
152.72 | AMR-C |  1.88 |  1.98 |  1.93 |    475 | 3915 |  0.0 | -0.01
152.72 | BER-C |  1.88 |  1.98 |  1.93 |     48 | 1218 |  0.0 | -0.01

=== PUTS ===
Strike | Type | Bid | Ask | Last | Volume | OI | IV% | Delta
----------------------------------------------------------
118.78 | EUR-P |  0.96 |  1.01 |  0.99 |    667 |  722 |  0.0 |  0.01
118.78 | AMR-P |  0.97 |  1.02 |  1.00 |    507 | 4525 |  0.0 |  0.01
118.78 | BER-P |  0.97 |  1.02 |  0.99 |    747 | 1921 |  0.0 |  0.01
